id,x position,y position,Aperture radius,Total aperture flux,Local mean background per pixel,Total background in aperture,Corrected Aperture flux,Error on corrected flux
1408.0,1135.0,4387.0,6.0,391617.0,3430.365960299053,387965.0,3652.0,858.1812162940879
1409.0,416.0,4390.0,6.0,391605.0,3425.999146547969,387471.0,4134.0,857.918411039185
1410.0,2140.0,257.0,6.0,390737.0,3413.4855891473685,386056.0,4681.0,856.678469438797
1411.0,1583.0,394.0,6.0,391074.0,3419.384269225712,386723.0,4351.0,857.2210916677213
1412.0,983.0,791.0,6.0,390142.0,3424.1987062542416,387267.0,2875.0,856.9597423449949
1413.0,815.0,937.0,20.0,4306699.0,9409.23028840891,11823987.0,-7517288.0,2291.859070710937
1414.0,1836.0,988.0,17.0,3115206.0,8136.348842295703,7387156.0,-4271950.0,1983.2198566976886
1415.0,1597.0,1412.0,6.0,398525.0,3523.9988027568033,398554.0,-29.0,867.6381734340646
1416.0,1635.0,1415.0,17.0,3168321.0,8282.960386435168,7520267.0,-4351946.0,2000.2537339047765
1417.0,952.0,1666.0,18.0,3500222.0,8584.787788825006,8738249.0,-5238027.0,2088.8415449717577
1418.0,1714.0,1866.0,6.0,391128.0,3431.2711540378878,388067.0,3061.0,857.9492992012989
1419.0,2427.0,2891.0,6.0,390467.0,3429.6994989748555,387889.0,2578.0,857.4718654276652
1420.0,1202.0,3042.0,6.0,391198.0,3419.205219914734,386703.0,4495.0,857.2829171282955
1421.0,1681.0,3057.0,6.0,391968.0,3424.218600622128,387270.0,4698.0,858.025640642516
1422.0,2051.0,3213.0,6.0,392542.0,3434.7725627859095,388463.0,4079.0,858.9778809724963
1423.0,1678.0,3454.0,6.0,390970.0,3417.633564851701,386525.0,4445.0,857.0577576803095
1424.0,163.0,388.0,14.0,2108682.0,6850.9339444140105,4218477.0,-2109795.0,1672.5468603300776
1425.0,2406.0,703.0,15.0,2415336.0,7250.034858584825,5124747.0,-2709411.0,1773.1861154430462
1426.0,1608.0,711.0,6.0,391744.0,3428.495889717723,387753.0,3991.0,858.1456752789703
1427.0,2011.0,971.0,6.0,392440.0,3434.394569796066,388420.0,4020.0,858.8963849033247
1428.0,2393.0,1135.0,6.0,391264.0,3419.1156952592446,386692.0,4572.0,857.3161610514525
1429.0,1172.0,1209.0,16.0,2776271.0,7759.778299756335,6240784.0,-3464513.0,1885.8337678597231
1430.0,1585.0,1328.0,6.0,398671.0,3526.555229030217,398844.0,-173.0,867.870382027178
1431.0,1818.0,1617.0,20.0,4313596.0,9435.371487811753,11856837.0,-7543241.0,2293.936136861704
1432.0,1495.0,1634.0,6.0,398710.0,3590.336572474294,406057.0,-7347.0,871.5790268243035
1433.0,581.0,1660.0,6.0,392164.0,3427.431541035796,387633.0,4531.0,858.3280258735584
1434.0,948.0,1823.0,6.0,401382.0,3588.3371885017023,405831.0,-4449.0,872.9954180864869
1435.0,1419.0,1997.0,6.0,392739.0,3516.1206330737546,397663.0,-4924.0,863.8391053894238
1436.0,2359.0,2125.0,6.0,389948.0,3416.977050711447,386451.0,3497.0,856.4227927840315
1437.0,440.0,2156.0,6.0,391271.0,3429.033037650658,387814.0,3457.0,857.9015094986137
1438.0,750.0,2171.0,6.0,391076.0,3423.7112942410226,387212.0,3864.0,857.475947184526
1439.0,1353.0,2388.0,6.0,389812.0,3418.727755085458,386649.0,3163.0,856.4461454172118
